price,Price_Ln,price_sqm,Price_sqm_Ln,sqm,sqm_Ln,Age,Age_Ln,floor,floortotal,d_elevator,d_poor,d_satisf,d_good,d_1room,d_2room,d_3room,d_morethan3,d_00320,d_00400
"216,000",12.28303,"2,650",7.88231,81.5,4.4006,46,3.82864,1,3,0,0,1,0,0,0,1,0,0,1
"255,000",12.44902,"4,554",8.42376,56,4.02535,62,4.12713,2,3,0,0,1,0,0,0,1,0,0,1
"191,000",12.16003,"2,671",7.89021,71.5,4.2697,45,3.80666,1,6,0,0,0,1,0,0,1,0,0,1
"230,000",12.34583,"2,822",7.9452,81.5,4.4006,46,3.82864,1,3,0,0,0,1,0,0,1,0,0,1
"265,000",12.48749,"3,732",8.2247,71,4.26268,64,4.15888,4,6,1,0,1,0,0,0,1,0,0,1
"302,000",12.61818,"4,719",8.45935,64,4.15888,64,4.15888,3,3,0,0,0,1,0,0,1,0,0,1
"210,000",12.25486,"2,593",7.86057,81,4.39445,46,3.82864,1,3,0,0,1,0,0,0,1,0,0,1
"291,200",12.58177,"4,412",8.39208,66,4.18965,62,4.12713,3,10,1,0,0,1,0,0,1,0,0,1
"269,000",12.50247,"4,339",8.3754,62,4.12713,61,4.11087,1,3,0,0,1,0,0,0,1,0,0,1
"265,000",12.48749,"4,274",8.36031,62,4.12713,61,4.11087,3,3,0,0,0,1,0,0,1,0,0,1
"251,000",12.43321,"3,803",8.24355,66,4.18965,62,4.12713,10,10,1,0,0,1,0,0,1,0,0,1
"300,000",12.61154,"3,797",8.24197,79,4.36945,64,4.15888,2,6,1,0,1,0,0,0,0,1,0,1
"437,700",12.98929,"3,709",8.21852,118,4.77068,64,4.15888,3,3,0,0,1,0,0,0,0,1,0,1
"185,000",12.12811,"2,024",7.61283,91.4,4.51525,45,3.80666,2,4,1,0,1,0,0,0,0,1,0,1
"295,000",12.59473,"3,491",8.15794,84.5,4.43675,62,4.12713,4,10,1,0,0,1,0,0,0,1,0,1
